xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Rx Count Pph per 100000,,PatCount_OpBenzo_Pat,RxCount_Schedule234_Rx_Pph,PatCount_MultiDisp,PatCount_MultiRxer
2016,CA,Los Angeles,90410,10SEP2017:10:31:20,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90411,10SEP2017:10:31:20,3,0,0,3,0,0,56,3,18.7,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90501,04APR2021:08:30:51,10027,2705,10763,4427,141985,688326,595519,9659,61.7,279,114299,1373,115,12538,227,55.2,151987,2590,58.7,49,50,1,276,1344,19673,17,138,1,"43,180",6264.474294,,,,,
2016,CA,Los Angeles,90502,04APR2021:08:30:51,7107,5078,10488,2834,186093,438888,314419,6513,48.3,377,169766,2695,58,13360,289,46.2,219443,5199,42.2,260,52,1,164,5227,1261,25,383,15,"18,010",28195.44697,,,,,
2016,CA,Los Angeles,90503,04APR2021:08:30:51,11410,41472,20288,4897,2894919,1346418,643104,10661,60.3,2486,1818585,21866,131,153049,2182,70.1,2928724,40149,72.9,341,91,4,257,133504,16628,131,2413,154,"44,383",93441.18243,,,,,
2016,CA,Los Angeles,90504,04APR2021:08:30:51,8080,1357,2040,3414,39566,100438,491162,7767,63.2,78,54923,521,88,1259,54,23.3,29427,826,35.6,17,23,3,213,265,3627,5,97,10,"32,102",4227.150956,,,,,
2016,CA,Los Angeles,90505,04APR2021:08:30:51,10422,53418,25138,4434,3006408.5,1841412,596958,9746,61.3,3326,2353420,31434,139,204295,3353,60.9,3571623,61058,58.5,511,83,1,271,102236,64024,217,2959,91,"36,678",145640.4384,,,,,
2016,CA,Los Angeles,90506,04APR2021:08:30:51,19,9,0,12,360,0,949,18,52.7,4,209,4,3,0,0,,870,15,58,3,0,0,1,0,0,0,1,1,0,#DIV/0!,,,,,
2016,CA,Los Angeles,90507,10SEP2017:10:31:20,34,0,0,12,0,0,2165,34,63.7,0,,0,1,0,0,,0,0,,1,0,0,2,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90508,10SEP2017:10:31:20,50,0,0,19,0,0,3775,47,80.3,0,,0,1,0,0,,0,0,,0,0,0,3,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90509,10SEP2017:10:31:20,62,10701,0,26,423102,0,3503,62,56.5,473,313952,6587,0,18608,390,47.7,558326,12606,44.3,325,23,0,0,3309,1195,61,465,10,,#DIV/0!,,,,,
2016,CA,Los Angeles,90510,10SEP2017:10:31:20,128,0,0,54,0,0,6091,122,49.9,0,,1,0,0,0,,30,1,30,7,0,0,6,12,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90601,04APR2021:08:30:51,7877,2718,5483,3365,171571,338122,477171,7496,63.7,182,75520,1226,82,8167,131,62.3,154107,2411,63.9,26,17,2,258,624,8026,11,100,0,"31,974",8500.656784,,,,,
2016,CA,Los Angeles,90602,04APR2021:08:30:51,6637,23653,14709,2793,1422787,1043629,392539,6359,61.7,1262,893610,11762,71,48024,857,56,1429161,22465,63.6,156,60,2,199,9755,17244,66,1113,35,"25,777",91760.09621,,,,,
2016,CA,Los Angeles,90603,04APR2021:08:30:51,7594,5054,7399,2562,252365,572184,450648,7251,62.1,324,172913,2571,73,13170,348,37.8,264955,5228,50.7,49,17,2,190,827,1183,21,181,4,"20,063",25190.64945,,,,,
2016,CA,Los Angeles,90604,04APR2021:08:30:51,10510,849,2296,4224,51603,144081,686148,10014,68.5,78,50825,434,108,5031,70,71.9,48636,713,68.2,13,1,2,317,152,0,2,80,8,"39,407",2154.439567,,,,,
2016,CA,Los Angeles,90605,04APR2021:08:30:51,9009,6622,2769,4031,321106,222386,555488,8674,64,522,181741,3556,101,23173,431,53.8,358575,7042,50.9,61,25,2,272,3670,7090,26,220,3,"40,331",16419.13169,,,,,
2016,CA,Los Angeles,90606,04APR2021:08:30:51,10107,4725,4783,3809,331644,331748,506207,9714,52.1,428,186298,2182,80,19640,307,64,321154,4445,72.3,46,10,4,250,39366,8330,21,304,19,"32,396",14585.13397,,,,,
2016,CA,Los Angeles,90607,10SEP2017:10:31:20,128,18,0,57,2535,0,7828,124,63.1,2,1048,15,2,90,3,30,3201,32,100,0,1,0,3,0,0,0,1,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90608,10SEP2017:10:31:20,77,1,0,39,3,0,3933,76,51.8,0,,2,2,0,0,,103,4,25.8,1,0,0,1,0,0,0,0,0,,#DIV/0!,,,,,
2016,CA,Los Angeles,90609,10SEP2017:10:31:20,61,0,0,28,0,0,3588,61,58.8,0,,0,1,0,0,,0,0,,0,0,1,3,0,0,0,0,0,,#DIV/0!,,,,,
