,xYear,County,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population,Unnamed: 35,PatCount_OpBenzo_Pat.1,RxCount_Schedule234_Rx_Pph.1,PatCount_MultiDisp.1,PatCount_MultiRxer.1
53,2016,Tulare,168370,147843,152790,63009,10816249.0,13694003.0,12275736,162698,8109,5384124.0,75289,1942,530022.0,8079,1011.0999999999999,10727389,144086,1355.2000000000003,772,320,5,4529,105597,301903.0,391,5967,305,438352.0,0.0,0.0,0.0,0.0,0.0
54,2016,Tuolumne,37333,33880,35949,11067,2542975.0,3190702.0,2957823,35831,1858,1827624.0,17611,425,143280.0,2118,339.5,2585909,33674,439.8,211,56,0,1030,51099,25472.0,89,2044,177,54242.0,0.0,0.0,0.0,0.0,0.0
55,2016,Ventura,297435,250916,276666,112660,15625210.0,24072167.5,18876972,282883,18844,12837189.0,146753,4242,1133900.72,18271,1469.6999999999998,17890143,277829,1818.6999999999998,2289,719,39,8760,431221,236372.0,969,17193,563,827963.0,0.0,0.0,0.0,0.0,0.0
56,2016,Yolo,67922,56674,62183,25323,3974773.0,5507311.0,4643467,65029,2773,2296083.0,32999,631,135963.0,2252,416.9,4419940,64455,684.6999999999999,617,171,4,2699,28116,58806.0,212,3253,176,202753.0,0.0,0.0,0.0,0.0,0.0
57,2016,Yuba,46521,23278,34061,14916,1962020.0,4119504.0,4146713,44950,1212,1184093.0,12075,320,52416.0,735,383.70000000000005,1979509,23164,424.90000000000003,106,39,2,1036,8727,23567.0,59,1414,48,71319.0,0.0,0.0,0.0,0.0,0.0
58,2017,Alameda,684069,747546,783214,233595,44148906.400000006,64033818.9,41366366,653861,31122,31887951.0,613920,6650,2701704.4,47534,2494.9,39763692,627764,2814.7000000000007,5801,1792,235,29554,280203,432989.0,2301,43036,2336,1515717.0,0.0,0.0,0.0,0.0,0.0
59,2017,Alpine,260,6,0,85,20.0,0.0,8903,200,0,0.0,3,3,0.0,0,0.0,20,1,20.0,5,0,0,7,1,0.0,0,0,0,1115.0,0.0,0.0,0.0,0.0,0.0
60,2017,Amador,33184,21985,28314,9374,1882764.0,2874452.0,2578606,31517,1049,1111204.0,17041,290,113958.0,1468,342.3,1628036,18256,458.90000000000003,102,29,6,1049,18869,12848.0,36,1261,49,38211.0,0.0,0.0,0.0,0.0,0.0
61,2017,Butte,229689,220597,212603,56692,17313919.5,23335319.0,18513336,220371,9682,10576961.0,178892,2624,1381922.0,20234,628.5999999999999,15307817,189741,781.7,745,202,20,6320,162472,166814.0,379,10973,530,220287.0,0.0,0.0,0.0,0.0,0.0
62,2017,Calaveras,40923,19330,29833,11436,1702743.0,3437278.0,3335155,38981,1076,978631.0,15284,437,182118.0,2566,499.3,1600289,17849,557.1,69,29,2,1176,23203,12700.0,45,973,95,45570.0,0.0,0.0,0.0,0.0,0.0
63,2017,Colusa,12095,5169,7583,3602,449696.0,573387.0,874570,11697,165,182957.0,4069,105,25456.0,393,109.7,412153,4871,161.1,20,9,0,282,7141,10803.0,16,191,10,21608.0,0.0,0.0,0.0,0.0,0.0
64,2017,Contra Costa,633080,639660,595407,194696,40960226.83,47317539.5,40498129,603739,26390,27857092.0,533460,6027,2576820.5,46038,1738.1000000000001,37542532,554842,2024.0,3762,1142,260,27275,397258,292512.0,1600,38050,1846,1043451.0,0.0,0.0,0.0,0.0,0.0
